step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,8.49144,0.33333,6.53459,0.0
2,8.73482,0.33333,,
3,6.73403,0.66667,,
4,6.65705,0.66667,,
5,6.9808,0.66667,,
6,8.30081,0.33333,,
7,6.84629,0.66667,,
8,6.69036,0.66667,,
9,6.85662,0.66667,,
10,6.6601,0.66667,,
11,8.6776,0.33333,,
12,6.53868,0.66667,,
13,6.64249,0.66667,,
14,8.51427,0.33333,,
15,6.74829,0.66667,,
16,8.85644,0.33333,,
17,8.55413,0.33333,,
18,8.34968,0.33333,,
19,6.4779,0.66667,,
20,7.28562,0.66667,,
21,8.98818,0.33333,,
22,8.37864,0.33333,,
23,8.46403,0.33333,,
24,8.26239,0.33333,,
25,6.95769,0.66667,,
26,6.30433,0.66667,,
27,6.61537,0.66667,,
28,6.60184,0.66667,,
29,8.43923,0.33333,,
30,8.2428,0.33333,,
31,6.56482,0.66667,,
32,8.04768,0.33333,,
33,8.34451,0.33333,,
34,8.08101,0.33333,,
35,7.97638,0.33333,,
36,8.21984,0.33333,,
37,6.54605,0.66667,,
38,8.05557,0.33333,,
39,6.56099,0.66667,,
40,6.75315,0.66667,,
41,7.83001,0.33333,,
42,6.70961,0.66667,,
43,6.5361,0.66667,,
44,8.03075,0.33333,,
45,6.69675,0.66667,,
46,6.44195,0.66667,,
47,8.26065,0.33333,,
48,8.01164,0.33333,,
49,7.9514,0.33333,,
50,7.64857,0.33333,,
51,6.31863,0.66667,,
52,7.65861,0.33333,,
53,7.60005,0.33333,,
54,7.43663,0.33333,,
55,6.2359,0.66667,,
56,7.26663,0.33333,,
57,7.56103,0.33333,,
58,7.22634,0.33333,,
59,6.74848,0.33333,,
60,6.9187,0.33333,,
61,6.15092,0.66667,,
62,6.40624,0.66667,,
63,5.96594,0.66667,,
64,6.05994,0.66667,,
65,6.9631,0.33333,,
66,7.46536,0.33333,,
67,5.89844,0.66667,,
68,6.90475,0.33333,,
69,5.88767,0.66667,,
70,5.83789,0.66667,,
71,6.27961,0.33333,,
72,6.15257,0.66667,,
73,6.41788,0.33333,,
74,6.39174,0.33333,,
75,6.40881,0.33333,,
76,6.62932,0.33333,,
77,6.64691,0.33333,,
78,5.99797,0.33333,,
79,6.42712,0.33333,,
80,6.02298,0.66667,,
81,5.48426,0.66667,,
82,5.64123,0.66667,,
83,5.49078,0.66667,,
84,5.47237,0.66667,,
85,5.52298,0.66667,,
86,5.58708,0.33333,,
87,5.34175,0.33333,,
88,5.44701,0.66667,,
89,4.96787,0.66667,,
90,4.92874,0.66667,,
91,5.57547,0.33333,,
92,4.90134,0.33333,,
93,5.03539,0.66667,,
94,4.09246,0.66667,,
95,4.64498,0.66667,,
96,4.47176,0.33333,,
97,4.32066,0.66667,,
98,4.63738,0.33333,,
99,3.80763,0.33333,,
100,4.31957,0.66667,,
101,4.13303,0.66667,3.09923,0.0
102,3.43113,0.66667,,
103,3.24274,0.66667,,
104,3.08266,0.66667,,
105,3.81576,0.66667,,
106,3.89787,0.33333,,
107,3.02328,0.66667,,
108,3.71323,0.66667,,
109,3.1921,0.66667,,
110,3.59157,0.66667,,
111,3.35281,0.66667,,
112,3.27656,0.66667,,
113,3.55105,0.66667,,
114,2.45556,0.66667,,
115,2.67177,0.66667,,
116,2.12589,0.66667,,
117,2.41187,0.66667,,
118,2.429,0.66667,,
119,2.33387,0.66667,,
120,2.68711,0.66667,,
121,1.79171,0.66667,,
122,2.38458,0.66667,,
123,1.46957,0.66667,,
124,1.86175,0.66667,,
125,1.36405,0.66667,,
126,1.71199,0.66667,,
127,1.7862,0.66667,,
128,1.32791,0.66667,,
129,1.21757,0.66667,,
130,1.20274,0.66667,,
131,1.00286,0.66667,,
