PREDICATION_ID,PMID,PREDICATE,INDICATOR_TYPE,PREDICATE_START_INDEX,PREDICATE_END_INDEX,SUBJECT_TEXT,SUBJECT_SEMTYPE,SUBJECT_START_INDEX,SUBJECT_END_INDEX,SUBJECT_SCORE,SUBJECT_DIST,SUBJECT_MAXDIST,SUBJECT_CUI,SUBJECT_NOVELTY,OBJECT_TEXT,OBJECT_SEMTYPE,OBJECT_START_INDEX,OBJECT_END_INDEX,OBJECT_SCORE,OBJECT_DIST,OBJECT_MAXDIST,OBJECT_CUI,OBJECT_NOVELTY,TYPE,SENTENCE,LABEL
P3100,6499897,INTERACTS_WITH,NOM,1298,1304,SA,orch,1235,1237,1000,3,4,C0036079,1,ASA,orch,1329,1332,1000,2,2,C0004057,1,ab,"Nor did administration of SA, diflunisal or ASA itself impair the       anti-aggregatory effect of a fresh test dose of ASA.",n
P3101,8369307,INHIBITS,VERB,890,899,rHF,aapp,785,788,813,4,13,C0162905,1,oxidase,aapp,912,919,888,1,15,C0242417,1,ab,"A       comparative study of recombinant L-chain ferritin (rLF), recombinant H-chain       ferritin (rHF), and variants has shown that (1) rLF lacks a ferroxidase activity,       confirming the results of previous studies; (2) the ferroxidase site of rHF       involves Glu-62 and His-65, presumably as Fe2+ ligands, since mutation of these       residues abolishes most of the oxidase activity, in agreement with previous       studies; and (3) mutation of both the putative ferroxidase and nucleation site       ligands in rHF renders the protein totally incapable of catalyzing the oxidation       of Fe2+ whereas mutation of nucleation site ligands alone (Glu-61, Glu-64, and       Glu-67) decreases the activity only slightly.",n
P3102,3711333,INHIBITS,VERB,1527,1534,alkaloids,orch,1508,1517,853,1,2,C0002062,1,aromatase,gngm,1541,1550,1000,1,1,C0003805,1,ab,These findings suggest that some nicotinic alkaloids directly inhibit       aromatase.,y
P3103,11742534,INTERACTS_WITH,NOM,746,753,amino acids,aapp,703,714,785,2,4,C0002520,1,Jak1,aapp,741,745,694,0,4,C0169658|3716,1,ab,"With a       truncated chimaeric IL-5Rbeta-gp130 receptor expressed in COS-7 cells, we show       that the membrane-proximal 69 amino acids are sufficient to mediate Jak1 binding       and activation.",y
P3104,244385,STIMULATES,ADJ,410,419,Neutral       endopeptidase,aapp,374,401,1000,1,1,C0025250,1,thermolysin,gngm,480,491,1000,3,5,C0039815,1,ab,"Neutral       endopeptidase, a zinc-dependent enzyme, has a broad specificity comparable to       that of thermolysin, and like the latter may be specifically inhibited by       phosphoramidon.",n
P3105,2424314,INTERACTS_WITH,NOM,2319,2326,tryptophan,aapp,2308,2318,632,0,0,C0041249,1,proteins,aapp,2330,2338,1000,1,8,C0033684,1,ab,In vitro 3H-tryptophan binding to proteins (trichloracetic       acid-precipitable) to cytosols of livers of hypertonic NaCl-treated rats was       increased in comparison with binding of controls.,y
P3106,2177734,INHIBITS,NOM,716,726,arginine,aapp,674,682,1000,1,6,C0003765,1,alpha melanotropin,aapp,730,748,1000,1,7,C0002302,1,ab,"Alkylating peptides with       prolonged biological activity containing phenylalanine mustard in place of       arginine, phenylalanine or methionine are inhibitors of alpha melanotropin,       suggesting an irreversible binding to reactive nucleophiles on the part of the       MSH receptor, where the Met-Glu-His-Phe-Arg sequence is attached.",n
P3107,7946996,STIMULATES,NOM,1140,1148,succinate,orch,1126,1135,1000,1,4,C0038617,1,phosphocreatine,gngm,1199,1214,658,1,5,C0031634,1,ab,"High concentrations of lactate, taurine and       succinate, an increase of the phosphocholine level, and a very low       phosphocreatine level were characteristic findings in the 1H spectra of tumor       extracts.",n
P3108,1457597,STIMULATES,NOM,585,593,phosphocreatine,aapp,512,527,694,2,12,C0031634,1,creatine,gngm,597,605,1000,1,3,C0010286,1,ab,Perfusion of isolated rat hearts with a phosphocreatine (10(-4) M) containing       solution to which strophanthin or KCl had been added up to a concentration of 27       mM as well as Ca2+ depletion decreased phosphocreatine concentration in the       perfusate with a simultaneous increase in creatine and phosphocreatine       concentrations in the myocardium.,y
P3109,2561948,INTERACTS_WITH,NOM,474,480,Mg2,gngm,563,566,1000,7,11,4589|57192,1,fluoride,inch,484,492,1000,1,11,C0016327,1,ab,"In order to distinguish between the       effect of fluoride and the 'salt effect' of sodium on PGE2 binding, the effects       of Mg2+ and guanyl nucleotides on PGE2 binding in the presence of NaCl or NaF       were compared.",n
P3110,7665990,INHIBITS,COMPLEX,1258,1275,ethanol,orch,1279,1286,1000,0,0,C0001962,1,IL-1 beta,gngm,1308,1317,831,0,0,C0021753,1,ab,"Furthermore, experiments using cycloheximide indicate that de novo       protein synthesis is required for the inhibitory effect of ethanol on SEB-induced       IL-1 beta mRNA production.",y
P3111,9350056,INTERACTS_WITH,NOM,195,210,SSeCKS,gngm,265,271,1000,2,6,9590,1,serine,gngm,188,194,888,0,2,C0036720,1,ti,"Cell-cycle regulated expression and serine phosphorylation of the myristylated       protein kinase C substrate, SSeCKS: correlation with culture confluency, cell       cycle phase and serum response.",y
P3112,11090628,INHIBITS,NOM,202,212,myricetin,orch,255,264,1000,1,5,C0067067,1,phosphoinositide 3-kinase,gngm,176,201,824,0,1,C0089793,1,ti,"Structural determinants of phosphoinositide 3-kinase inhibition by wortmannin,       LY294002, quercetin, myricetin, and staurosporine.",y
P3113,8788958,INTERACTS_WITH,NOM,829,836,GABA,aapp,986,990,1000,5,5,C0016904,1,TBPS,orch,824,828,734,0,1,C0076147,1,ab,Inhibition of TBPS binding to cortical membranes measured under nonequilibrium       conditions yielded a dynamic biphasic inhibition curve that was similarly shaped       for GABA and taurine.,y
P3114,2434094,INTERACTS_WITH,NOM,1136,1143,heparitinase,aapp,1234,1246,1000,6,9,C0121449,1,FGF,aapp,1147,1150,1000,1,9,C0016026,1,ab,The       binding of FGF to the ECM is negligible when the ECM has been pretreated with       heparinase or heparitinase suggesting that the mitogen is interacting with a       heparin-like glycosaminoglycan in the ECM.,n
P3115,8922395,INTERACTS_WITH,NOM,521,530,PTH,aapp,645,648,1000,5,9,C0020063|5741,1,collagen,aapp,652,660,901,6,9,C0009325,1,ab,"To       elucidate their possible role in the regulation of cartilage matrix metabolism,       the influence of the amino-terminal (NH2-terminal), the central, and the       carboxyl-terminal (COOH-terminal) portion of the PTH on collagen gene expression       was studied in a serum free cell culture system of fetal bovine and human       chondrocytes.",y
P3116,1358919,INHIBITS,VERB,1634,1641,TGF-beta,aapp,1625,1633,1000,1,2,C0040690,1,GS,aapp,1658,1660,861,1,5,C0017801,1,ab,"These data suggest that TGF-beta impairs       astrocyte GS function and enhances neurotoxicity, thus providing insight into       understanding one mechanism of cytokine-mediated central nervous system disease.",y
P3117,404875,INTERACTS_WITH,NOM,230,236,amino acid,aapp,407,417,1000,7,14,C0002520,1,insulin,aapp,267,274,888,2,14,C0021641,1,ab,The effect of the following variables on insulin loss from total parenteral       nutrient solutions was examined: (1) time of infusion sample; (2) insulin       concentration; (3) amino acid or polypeptide source; (4) electrolytes and       vitamins; (5) inline filters; (6) glass and polyvinyl chloride (PVC) infusion       containers; and (7) human albumin.,n
P3118,2430077,INHIBITS,NOM,781,791,lysine,aapp,699,705,888,5,8,C0024337,1,arginine,aapp,851,859,694,1,5,C0003765,1,ab,"A 3-fold increase in dietary lysine caused       10, 4, 20 and 50-fold increases in lysine concentrations in plasma, brain, liver       and muscle, respectively, and reductions in ornithine concentration of brain and       liver and in arginine concentration of brain.",y
P3119,8429493,INTERACTS_WITH,VERB,691,699,thiamine,orch,593,601,888,3,7,C0039840,1,thiochrome,orch,703,713,1000,1,4,C0076453,1,ab,"After separation of thiamine mono- and diphosphates       with the phosphatase enzyme, the total thiamine was subjected to reversed-phase       high-performance liquid chromatography, postcolumn oxidized to thiochrome with       K3[Fe(CN)6], and detected by fluorescence.",n
