,id,sentence1,sentence2,label,split
2344,P5444,conversion of 3-nitrotyrosine to 3-aminotyrosine in peptides and proteins.,3-nitrotyrosine interacts with 3-aminotyrosine,0,train
298,P3398,interaction of myeloperoxidase with diclofenac.,diclofenac interacts with myeloperoxidase,1,train
509,P3609,"in these eight pairs, an increase in n-methyl-d-aspartate (nmda) receptor-mediated membrane noise indicated an increase in ambient concentrations of glutamate induced by l-trans-pdc.",nmda interacts with glutamate,0,train
1825,P4925,"forced overexpression of ssi-1 complementary dna interfered with il-6- and lif-mediated apoptosis and macrophage differentiation of m1 cells, as well as il-6 induced tyrosine-phosphorylation of a receptor glycoprotein component, gp130, and of stat3.",lif interacts with stat3,0,train
1840,P4940,"ciz1 bound to the n-terminal, the cdk2-interacting part of p21(cip1/waf1), and the interaction was disrupted by the overexpression of cdk2.",p21 inhibits cdk2,0,train
1583,P4683,the cellular processes mediated by the interaction of alpha 4 beta 1 with fn or vcam-1 were inhibited by the cs1 peptide derived from the major alpha 4 beta 1 binding site on fn.,cs1 peptide inhibits fn,0,train
96,P3196,"the antibacterial agent fludalanine [2-2h-3-fluoro-d-alanine (dfa)] is a potent inhibitor of bacterial alanine racemase, an enzyme required for the generation of d-alanine, an essential component of the bacterial cell wall.",alanine inhibits alanine racemase,0,train
2703,P5803,influence of ribonucleotides on the utilization of deoxyribonucleotides by lactobacillus acidophilus.,deoxyribonucleotides interacts with ribonucleotides,1,train
2705,P5805,[in vitro effect of spiramycin on 153 strains of staphylococcus pyogenes; comparison with the effect of penicillin & erythromycin].,spiramycin interacts with erythromycin,0,train
705,P3805,exposure of f0 subunits in inverted and right-side-out inner membranes was investigated by direct antibody binding as well as by susceptibility of these subunits to degradation by various proteases as monitored by gel electrophoresis of the membrane digests and immunoblotting with the subunit-specific antibodies.,proteases interacts with antibody,0,train
1562,P4662,"we have found that pretreatment of human neutrophils with ibuprofen (0.10-1.0 mg/ml) results in an irreversible, concentration-dependent inhibition of superoxide anion generation and release of lysosomal enzymes (myeloperoxidase, lysozyme) stimulated by the synthetic peptide, n-formyl-methionyl-leucyl-phenylalanine (fmlp), the complement fragment c5a, and to a lesser extent by serum opsonized zymosan.",synthetic peptide stimulates lysosomal enzymes,1,train
2058,P5158,both (131)i-labelled human cohn fraction ii and bovine fibrinogen were attacked by a sulphate-precipitated preparation of gamma-globulin.,sulphate-precipitated preparation interacts with cohn fraction ii,1,train
353,P3453,[effect on the central nervous system of new competing antagonists of purine series alkaloids].,competing inhibits alkaloids,0,train
941,P4041,"we showed that the cloned provirus was able to direct the synthesis of the major structural viral proteins, the protease and the tax and rex regulatory proteins.",protease interacts with regulatory proteins,0,train
2629,P5729,[changes of vascular reactivity to adrenalin under the influence of salicylates].,adrenalin interacts with salicylates,1,train
549,P3649,"pseudopeptides of the achetakinin insect neuropeptide family were synthesized by replacing the amino acid blocks phe-, phe-tyr-, and phe-tyr-pro- of the active-core pentapeptide phe-tyr-pro-trp-gly-nh2 with hydrocinnamic acid, 6-phenylhexanoic acid, and both 9-phenylnonanoic and 6-phenylhexanoic acid, respectively.",amino acid inhibits phe,0,train
2887,P5987,"the precise nature of this system is unknown, but preliminary evidence suggests that cellular acquisition of lactate-decomposing activity involves the formation of a nonpyridine nucleotide-linked lactic dehydrogenase.",lactate interacts with dehydrogenase,0,train
49,P3149,"human hsp27, drosophila hsp27 and human alphab-crystallin expression-mediated increase in glutathione is essential for the protective activity of these proteins against tnfalpha-induced cell death.",crystallin stimulates glutathione,1,train
2745,P5845,"a comparison of the antimalarial effects of suppressive doses of chloroquine, amodiaquin, and pyrimethamine.",antimalarial interacts with amodiaquin,0,train
8,P3108,perfusion of isolated rat hearts with a phosphocreatine (10(-4) m) containing solution to which strophanthin or kcl had been added up to a concentration of 27 mm as well as ca2+ depletion decreased phosphocreatine concentration in the perfusate with a simultaneous increase in creatine and phosphocreatine concentrations in the myocardium.,phosphocreatine stimulates creatine,1,train
1625,P4725,"n-hexanol at a concentration of 1 mm, and cold acclimation of the frogs, which increases the fluidity of epidermal cell membranes, do not affect the sensitivity of isc to the inhibiting effect of amiloride.",n-hexanol interacts with amiloride,0,train
1926,P5026,this deficit in acche activity in cm+ cultures resulted from a deficit in the number of enzyme molecules immunoprecipitable with an antiserum raised against rat brain acche.,antiserum stimulates acche,0,train
1090,P4190,"to determine the isotypes of immunoglobulin (ig) that was bound to amylase and lipase in the patient's serum, we investigated the effect of adding various anti-human ig sera to the patient's serum.",immunoglobulin interacts with lipase,1,train
1636,P4736,"exposing cells to phorbol myristate acetate (pma) or dibutyryl cyclic amp (db camp) enhanced the secretion of scu-pa and two-chain u-pa, whereas 1-(5-isoquinolinylsulfonyl)-2-methylpiperazine (h7) decreased scu-pa secretion, indicating that it is enhanced by protein kinase c (pkc) as well as by camp in ny cells.",dibutyryl cyclic amp stimulates u-pa,1,train
2308,P5408,neither ;malic enzyme' nor isocitrate dehydrogenase was increased by thyroxine or thyroxine and luteinizing hormone in testes.,thyroxine stimulates dehydrogenase,0,train
2374,P5474,inhibition by actinomycin d of the induction of tryptophan pyrrolase by hydrocortisone.,actinomycin d inhibits tryptophan pyrrolase,1,train
1894,P4994,"inhibition of .n = o synthesis by the l-arginine analogue of ng-monomethyl-l-arginine (nma) resulted in a further increase of pge2, txb2, and il-6 but not il-1 and tnf-alpha production, indicating specific inhibitory effects of endogenous .n = o synthesis on the secretory activity of kcs.",il-1 stimulates il-6,0,train
951,P4051,results from liquid chromatography-electrospray secondary ion mass spectrometry suggest that tamoxifen and toremifene are metabolized by peroxidase to putative reactive epoxide intermediates responsible for the genotoxic effects.,peroxidase interacts with tamoxifen,1,train
1806,P4906,"immunoblotting studies for protein s, the cofactor for apc, revealed that the majority of the dic patient plasmas contained a higher than normal proportion of protein s in cleaved form, suggesting that protein s may have been proteolytically inactivated.",protein s interacts with apc,0,train
936,P4036,"while the demonstration of the in vivo inhibitory activity of n-butyl malonate and hydroxycitrate is entirely by physiological methods, that of the transaminase inhibitors aminooxyacetate and cycloserine depends in part on the isolation of mutants capable of growth on glycerol in minimal medium.",hydroxycitrate inhibits transaminase,0,train
723,P3823,potentiating effects of caffeine on the cardiovascular teratogenicity of ephedrine in chick embryos.,ephedrine interacts with caffeine,1,train
88,P3188,the effects of insulin were to increase the biosynthesis of progesterone from available pregnenolone and increase the production of pregnenolone from endogenous sterol substrate.,pregnenolone interacts with sterol,0,train
